region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
PORO,Masculin,Marié(e) monogame,35-44,78,41520.488,.71794873,.012820513,.14102565,.3974359,.17948718,.2820513,.051282052
PORO,Masculin,Marié(e) polygame,35-44,27,32972.617,.7037037,0,.2962963,.44444445,.074074075,.18518518,.074074075
PORO,Masculin,Union libre,35-44,5,29595.6,.60000002,0,.2,.40000001,.2,.2,0
PORO,Féminin,Célibataire,35-44,8,8627.8271,.75,0,.375,.25,.25,.125,0
PORO,Féminin,Marié(e) monogame,35-44,73,8264.8398,.32876712,.01369863,.2739726,.39726028,.20547946,.12328767,.02739726
PORO,Féminin,Marié(e) polygame,35-44,53,2696.0659,.32075471,0,.2264151,.52830189,.03773585,.20754717,.018867925
PORO,Féminin,Union libre,35-44,2,0,.5,0,0,.5,.5,0,0
PORO,Féminin,Veuf(ve),35-44,8,10800.222,0,0,.125,.375,.25,.25,0
PORO,Féminin,Séparé,35-44,1,0,0,0,1,0,0,0,0
PORO,Masculin,Célibataire,45-54,4,43750,1,0,0,0,.25,.75,.25
PORO,Masculin,Marié(e) monogame,45-54,47,31770.096,.76595747,0,.34042552,.38297874,.17021276,.10638298,0
PORO,Masculin,Marié(e) polygame,45-54,26,21923.889,.76923078,.03846154,.30769232,.53846157,0,.15384616,0
PORO,Masculin,Union libre,45-54,2,46127.27,.5,0,0,.5,0,.5,0
PORO,Féminin,Marié(e) monogame,45-54,34,2528.4072,.29411766,0,.55882353,.38235295,0,.05882353,0
PORO,Féminin,Marié(e) polygame,45-54,35,0,.25714287,0,.48571429,.45714286,0,.057142857,0
PORO,Féminin,Veuf(ve),45-54,13,7692.3076,.53846157,0,.07692308,.15384616,.38461539,.30769232,0
PORO,Masculin,Célibataire,55-64,2,0,1,0,0,1,0,0,0
PORO,Masculin,Marié(e) monogame,55-64,32,17018.082,.46875,0,.4375,.34375,.09375,.125,0
PORO,Masculin,Marié(e) polygame,55-64,19,0,.63157892,0,.36842105,.57894737,0,.052631579,0
PORO,Masculin,Veuf(ve),55-64,2,0,0,0,0,1,0,0,0
PORO,Féminin,Célibataire,55-64,1,66721.117,0,0,0,1,0,0,0
PORO,Féminin,Marié(e) monogame,55-64,19,5421.333,.2631579,0,.21052632,.63157892,.10526316,.052631579,.10526316
PORO,Féminin,Marié(e) polygame,55-64,19,0,.42105263,0,.31578946,.52631581,0,.15789473,0
PORO,Féminin,Union libre,55-64,1,0,0,0,0,1,0,0,0
PORO,Féminin,Veuf(ve),55-64,22,0,.045454547,0,.22727273,.45454547,0,.31818181,0
PORO,Masculin,Marié(e) monogame,65+,31,967.74194,.41935483,0,.45161289,.48387095,.064516127,0,.096774191
PORO,Masculin,Marié(e) polygame,65+,8,0,.625,0,.375,.625,0,0,0
PORO,Masculin,Séparé,65+,2,0,0,0,0,0,0,1,0
PORO,Féminin,Célibataire,65+,3,0,.33333334,0,.66666669,.33333334,0,0,0
PORO,Féminin,Marié(e) monogame,65+,8,0,.25,0,.625,.375,0,0,0
PORO,Féminin,Marié(e) polygame,65+,2,0,1,0,0,1,0,0,0
PORO,Féminin,Veuf(ve),65+,28,0,.10714286,0,.25,.5,.14285715,.10714286,0
PORO,Féminin,Séparé,65+,1,0,1,0,1,0,0,0,0
GBEKE,Masculin,Célibataire,0-14,433,0,0,0,.18244803,.15473442,.27020785,.39260969,.06235566
GBEKE,Féminin,Célibataire,0-14,458,0,0,0,.17030568,.20305677,.26419213,.36244541,.05021834
GBEKE,Féminin,Marié(e) monogame,0-14,1,0,0,0,0,0,0,1,0
GBEKE,Masculin,Célibataire,15-24,201,9204.625,.49253732,.0049751243,.23880596,.15422885,.35323384,.25373134,.034825869
GBEKE,Masculin,Marié(e) monogame,15-24,3,94153.391,.33333334,0,0,0,.66666669,.33333334,0
GBEKE,Masculin,Union libre,15-24,1,0,1,0,0,1,0,0,0
GBEKE,Féminin,Célibataire,15-24,166,3864.9819,.42771083,.0060240962,.21686748,.096385539,.43373495,.25301206,.042168673
